Customer ID,Age,Gender,Income Level,Location,Education Level
100,31,Female,Medium,"New York, NY",Undergraduate
101,56,Male,High,"Chicago, IL",Graduate
102,62,Female,Low,"New York, NY",Graduate
103,26,Male,Low,"Chicago, IL",Undergraduate
104,58,Male,Low,"Miami, FL",Graduate
105,35,Female,High,"Los Angeles, CA",Undergraduate
106,43,Female,Low,"Chicago, IL",Graduate
107,35,Other,Low,"Los Angeles, CA",High School
108,32,Other,High,"Miami, FL",High School
109,23,Female,Low,"Chicago, IL",High School
110,29,Male,High,"Chicago, IL",High School
111,30,Female,High,"Miami, FL",Undergraduate
112,48,Female,Low,"Houston, TX",Undergraduate
113,36,Other,Medium,"Miami, FL",High School
114,75,Other,Low,"Chicago, IL",High School
115,54,Female,Medium,"Los Angeles, CA",Undergraduate
116,73,Female,Medium,"New York, NY",Undergraduate
117,73,Other,High,"Los Angeles, CA",Undergraduate
118,56,Male,High,"Houston, TX",High School
119,21,Female,High,"Houston, TX",Graduate
120,76,Male,Medium,"Houston, TX",Undergraduate
121,72,Other,Low,"Miami, FL",High School
122,29,Other,High,"Miami, FL",High School
123,20,Female,Low,"New York, NY",Graduate
124,55,Male,Low,"Miami, FL",Undergraduate
125,79,Other,High,"Miami, FL",Graduate
126,23,Female,Medium,"Los Angeles, CA",Undergraduate
127,20,Other,Medium,"Houston, TX",High School
128,36,Female,High,"Chicago, IL",Undergraduate
129,22,Female,Low,"Chicago, IL",High School
130,50,Female,High,"Miami, FL",Graduate
131,38,Male,Medium,"Chicago, IL",Graduate
132,66,Other,Low,"Los Angeles, CA",Graduate
133,41,Other,High,"Los Angeles, CA",Graduate
134,52,Male,Medium,"Miami, FL",High School
135,74,Male,High,"New York, NY",Undergraduate
136,59,Female,Low,"Miami, FL",Undergraduate
137,69,Female,Low,"Miami, FL",High School
138,31,Female,High,"Chicago, IL",High School
139,69,Female,Medium,"Los Angeles, CA",Graduate
140,34,Female,Medium,"Chicago, IL",High School
141,60,Other,Low,"Chicago, IL",Undergraduate
142,72,Male,Low,"New York, NY",Graduate
143,72,Male,Medium,"Houston, TX",Graduate
144,67,Female,High,"Chicago, IL",High School
145,31,Male,Medium,"New York, NY",Graduate
146,58,Other,High,"Houston, TX",Graduate
147,64,Female,High,"New York, NY",Undergraduate
148,48,Other,High,"Chicago, IL",Undergraduate
149,36,Male,Low,"Houston, TX",Graduate
150,33,Other,Medium,"Chicago, IL",Graduate
151,34,Female,Medium,"Los Angeles, CA",Graduate
152,62,Male,Low,"Miami, FL",Undergraduate
153,24,Other,High,"New York, NY",High School
154,43,Female,Low,"New York, NY",High School
155,49,Male,Medium,"Los Angeles, CA",Undergraduate
156,47,Male,Low,"Miami, FL",Graduate
157,49,Female,Medium,"Los Angeles, CA",Graduate
158,57,Male,High,"Miami, FL",Graduate
159,61,Other,Medium,"Miami, FL",Undergraduate
160,19,Other,Medium,"New York, NY",Undergraduate
161,20,Female,Medium,"Chicago, IL",Graduate
162,74,Female,Medium,"Miami, FL",Graduate
163,62,Female,Medium,"Los Angeles, CA",Undergraduate
164,67,Male,Low,"Los Angeles, CA",Undergraduate
165,61,Other,Medium,"Chicago, IL",Undergraduate
166,38,Male,High,"Chicago, IL",High School
167,42,Female,Low,"Los Angeles, CA",Undergraduate
168,42,Female,Low,"New York, NY",High School
169,22,Male,Medium,"Miami, FL",High School
170,62,Female,Low,"Houston, TX",High School
171,22,Female,Low,"Miami, FL",High School
172,26,Male,Medium,"Chicago, IL",High School
173,65,Female,Medium,"Miami, FL",High School
174,18,Other,Medium,"Los Angeles, CA",High School
175,59,Other,Medium,"Los Angeles, CA",High School
176,36,Female,High,"New York, NY",Undergraduate
177,65,Male,Low,"Chicago, IL",Graduate
178,65,Other,Medium,"Los Angeles, CA",High School
179,48,Female,Low,"Miami, FL",Graduate
180,68,Female,Medium,"Miami, FL",Graduate
181,20,Other,Low,"New York, NY",High School
182,54,Female,High,"Houston, TX",Graduate
183,28,Male,High,"New York, NY",Graduate
184,78,Other,High,"Los Angeles, CA",Undergraduate
185,40,Other,High,"Chicago, IL",Graduate
186,38,Male,High,"Houston, TX",High School
187,69,Male,High,"New York, NY",Undergraduate
188,62,Male,High,"Houston, TX",Undergraduate
189,71,Other,High,"Houston, TX",Undergraduate
190,55,Female,Low,"New York, NY",High School
191,68,Other,Medium,"Los Angeles, CA",Graduate
192,33,Other,Medium,"Houston, TX",High School
193,63,Other,Medium,"New York, NY",Graduate
194,57,Other,High,"Chicago, IL",Undergraduate
195,48,Female,High,"Los Angeles, CA",Graduate
196,32,Female,Low,"New York, NY",High School
197,51,Female,Medium,"Miami, FL",High School
198,60,Female,Low,"New York, NY",Undergraduate
199,55,Female,Low,"New York, NY",High School
200,70,Female,Low,"Chicago, IL",Graduate
201,63,Female,High,"New York, NY",High School
202,77,Other,Medium,"Chicago, IL",Undergraduate
203,68,Female,High,"Los Angeles, CA",High School
204,62,Other,Medium,"New York, NY",Graduate
205,67,Male,High,"Los Angeles, CA",Graduate
206,69,Other,Low,"Chicago, IL",High School
207,62,Female,Low,"Houston, TX",Undergraduate
208,49,Female,Medium,"New York, NY",High School
209,65,Female,High,"Miami, FL",Undergraduate
210,38,Male,High,"Houston, TX",High School
211,35,Female,Medium,"Houston, TX",Undergraduate
212,65,Male,High,"Miami, FL",Undergraduate
213,52,Male,Low,"Chicago, IL",Undergraduate
214,43,Female,High,"New York, NY",Graduate
215,69,Male,Medium,"Miami, FL",Undergraduate
216,32,Male,High,"Chicago, IL",Graduate
217,79,Female,Low,"New York, NY",High School
218,69,Other,High,"Miami, FL",High School
219,27,Female,High,"Houston, TX",High School
220,19,Male,High,"Chicago, IL",High School
221,40,Other,Medium,"Houston, TX",Graduate
222,32,Other,Medium,"New York, NY",High School
223,18,Male,Low,"Miami, FL",Graduate
224,53,Other,Low,"New York, NY",Graduate
225,73,Male,High,"Houston, TX",High School
226,60,Other,High,"Los Angeles, CA",Graduate
227,40,Male,High,"New York, NY",Graduate
228,61,Other,Low,"New York, NY",Graduate
229,42,Other,Low,"Chicago, IL",High School
230,42,Other,Medium,"Houston, TX",Undergraduate
231,46,Other,Medium,"Houston, TX",Undergraduate
232,30,Female,Medium,"Miami, FL",Graduate
233,19,Female,Medium,"Chicago, IL",Graduate
234,24,Female,High,"Chicago, IL",Undergraduate
235,44,Other,High,"Chicago, IL",Graduate
236,31,Other,Low,"Houston, TX",Graduate
237,65,Male,High,"New York, NY",High School
238,53,Male,Low,"Los Angeles, CA",Graduate
239,76,Male,High,"Miami, FL",High School
240,57,Other,Medium,"Miami, FL",Graduate
241,56,Other,Medium,"Houston, TX",Undergraduate
242,23,Female,Low,"New York, NY",Undergraduate
243,62,Male,Medium,"New York, NY",High School
244,72,Female,Low,"New York, NY",Undergraduate
245,78,Other,Low,"Houston, TX",Graduate
246,41,Male,Low,"Miami, FL",Undergraduate
247,24,Female,High,"Los Angeles, CA",Graduate
248,58,Other,High,"Miami, FL",Undergraduate
249,74,Other,High,"New York, NY",Graduate
250,31,Other,Medium,"Houston, TX",Undergraduate
251,52,Female,High,"Miami, FL",Undergraduate
252,45,Male,Medium,"New York, NY",High School
253,71,Other,High,"Chicago, IL",High School
254,59,Male,Low,"Miami, FL",Undergraduate
255,71,Other,High,"New York, NY",High School
256,71,Other,Low,"Chicago, IL",Graduate
257,40,Male,Low,"Houston, TX",High School
258,22,Male,High,"Chicago, IL",Undergraduate
259,54,Female,Medium,"Chicago, IL",Undergraduate
260,63,Male,High,"Chicago, IL",Undergraduate
261,74,Male,High,"New York, NY",Undergraduate
262,19,Other,Low,"Chicago, IL",Undergraduate
263,52,Female,Medium,"Houston, TX",High School
264,41,Other,Medium,"Houston, TX",Graduate
265,29,Male,Medium,"New York, NY",Undergraduate
266,60,Male,High,"Miami, FL",High School
267,57,Other,Medium,"Los Angeles, CA",High School
268,30,Other,Medium,"Chicago, IL",Graduate
269,26,Male,Low,"Chicago, IL",High School
270,40,Female,Medium,"New York, NY",Undergraduate
271,44,Other,Low,"Chicago, IL",High School
272,51,Male,Medium,"Miami, FL",Graduate
273,78,Other,High,"Los Angeles, CA",Graduate
274,37,Other,Medium,"Houston, TX",Undergraduate
275,18,Male,Medium,"Los Angeles, CA",Undergraduate
276,57,Other,Medium,"Houston, TX",Graduate
277,32,Other,Medium,"Houston, TX",Graduate
278,46,Other,High,"Miami, FL",Graduate
279,65,Female,High,"Chicago, IL",Graduate
280,61,Female,Low,"Los Angeles, CA",High School
281,30,Female,High,"New York, NY",Graduate
282,33,Female,Medium,"Los Angeles, CA",Undergraduate
283,55,Female,Medium,"Chicago, IL",Undergraduate
284,37,Male,Low,"Miami, FL",Graduate
285,74,Other,Low,"Miami, FL",Undergraduate
286,77,Other,Medium,"New York, NY",Undergraduate
287,58,Other,High,"Los Angeles, CA",High School
288,41,Female,High,"Miami, FL",Undergraduate
289,68,Male,Low,"Los Angeles, CA",Graduate
290,31,Female,Low,"Los Angeles, CA",High School
291,71,Female,High,"New York, NY",High School
292,77,Male,Low,"Houston, TX",High School
293,38,Other,Medium,"Houston, TX",High School
294,28,Other,High,"Miami, FL",High School
295,62,Male,Medium,"Miami, FL",High School
296,64,Male,Medium,"Houston, TX",High School
297,33,Female,High,"Los Angeles, CA",High School
298,36,Other,Medium,"Chicago, IL",Undergraduate
299,70,Other,High,"Houston, TX",Graduate
300,79,Other,Medium,"Miami, FL",High School
301,30,Male,Medium,"Los Angeles, CA",High School
302,25,Other,Low,"Houston, TX",High School
303,18,Female,Medium,"Chicago, IL",Graduate
304,68,Male,Low,"Miami, FL",Graduate
305,50,Male,High,"Chicago, IL",High School
306,70,Other,Low,"New York, NY",Undergraduate
307,65,Female,Low,"Miami, FL",High School
308,55,Other,Low,"Houston, TX",High School
309,42,Male,High,"New York, NY",Undergraduate
310,19,Female,Medium,"Miami, FL",Graduate
311,24,Other,Medium,"Chicago, IL",Undergraduate
312,20,Male,Low,"Chicago, IL",Graduate
313,52,Female,Medium,"Chicago, IL",High School
314,38,Male,Low,"New York, NY",High School
315,54,Other,High,"Houston, TX",Graduate
316,43,Female,Low,"Houston, TX",Undergraduate
317,41,Male,High,"Los Angeles, CA",High School
318,30,Male,Low,"Los Angeles, CA",Graduate
319,35,Male,Medium,"Miami, FL",Undergraduate
320,77,Male,Low,"Los Angeles, CA",High School
321,65,Other,Low,"Miami, FL",Undergraduate
322,75,Male,High,"New York, NY",Graduate
323,46,Female,Low,"Chicago, IL",Undergraduate
324,47,Male,High,"New York, NY",Graduate
325,48,Female,High,"Chicago, IL",Graduate
326,47,Other,High,"Chicago, IL",Undergraduate
327,21,Female,Medium,"Chicago, IL",High School
328,72,Female,Medium,"Houston, TX",Undergraduate
329,78,Other,High,"New York, NY",High School
330,71,Other,Low,"Chicago, IL",Undergraduate
331,70,Other,Low,"Houston, TX",Undergraduate
332,32,Female,Medium,"Chicago, IL",Undergraduate
333,26,Female,High,"Houston, TX",Graduate
334,24,Male,High,"Houston, TX",Graduate
335,51,Male,High,"Los Angeles, CA",High School
336,19,Male,Medium,"New York, NY",High School
337,44,Male,High,"Chicago, IL",High School
338,78,Female,Medium,"New York, NY",Undergraduate
339,43,Other,High,"New York, NY",Undergraduate
340,32,Female,High,"Chicago, IL",Undergraduate
341,66,Other,High,"Miami, FL",Graduate
342,32,Female,High,"Houston, TX",High School
343,53,Male,Low,"Houston, TX",High School
344,41,Female,Low,"Miami, FL",Graduate
345,35,Female,Medium,"Los Angeles, CA",High School
346,30,Male,Medium,"Los Angeles, CA",Graduate
347,36,Other,High,"New York, NY",Graduate
348,27,Female,Low,"New York, NY",Undergraduate
349,36,Female,High,"Chicago, IL",High School
350,62,Female,Medium,"Miami, FL",Undergraduate
351,20,Male,Medium,"New York, NY",High School
352,71,Female,High,"Houston, TX",High School
353,19,Other,Medium,"Houston, TX",High School
354,22,Female,Medium,"Miami, FL",High School
355,60,Other,Medium,"Houston, TX",Undergraduate
356,38,Male,High,"Los Angeles, CA",High School
357,20,Male,Low,"Miami, FL",Undergraduate
358,37,Other,Low,"Los Angeles, CA",Graduate
359,63,Male,Low,"Miami, FL",Graduate
360,30,Female,Low,"Los Angeles, CA",High School
361,51,Other,Low,"New York, NY",Undergraduate
362,28,Female,Low,"New York, NY",Undergraduate
363,65,Other,High,"New York, NY",Graduate
364,70,Other,Low,"Chicago, IL",Graduate
365,63,Female,Low,"Chicago, IL",High School
366,74,Female,High,"Los Angeles, CA",High School
367,34,Other,High,"Miami, FL",High School
368,44,Other,Low,"Chicago, IL",Undergraduate
369,45,Male,Low,"Chicago, IL",Undergraduate
370,18,Male,Medium,"Los Angeles, CA",Undergraduate
371,76,Other,High,"New York, NY",Graduate
372,39,Female,Low,"Miami, FL",Undergraduate
373,48,Other,Medium,"Los Angeles, CA",Graduate
374,31,Male,Low,"Chicago, IL",Graduate
375,55,Female,Low,"New York, NY",Undergraduate
376,79,Male,Medium,"Los Angeles, CA",High School
377,21,Male,High,"Chicago, IL",Undergraduate
378,66,Male,Medium,"Miami, FL",Graduate
379,67,Male,Medium,"Chicago, IL",Graduate
380,21,Male,High,"New York, NY",High School
381,70,Other,Medium,"Miami, FL",Graduate
382,73,Other,High,"Houston, TX",Graduate
383,38,Female,High,"Los Angeles, CA",Graduate
384,69,Female,High,"Chicago, IL",Undergraduate
385,21,Other,Medium,"Los Angeles, CA",Undergraduate
386,37,Male,High,"Chicago, IL",High School
387,74,Male,Medium,"Miami, FL",Undergraduate
388,23,Female,Medium,"Houston, TX",Graduate
389,35,Female,High,"Chicago, IL",High School
390,30,Female,High,"Chicago, IL",Undergraduate
391,68,Female,Low,"Houston, TX",High School
392,20,Other,Medium,"New York, NY",Graduate
393,19,Male,Low,"Miami, FL",Undergraduate
394,22,Other,Medium,"New York, NY",Undergraduate
395,28,Male,Low,"New York, NY",High School
396,30,Male,High,"Chicago, IL",Graduate
397,25,Other,Low,"Miami, FL",High School
398,30,Other,Medium,"Houston, TX",High School
399,40,Other,Low,"Houston, TX",Graduate
400,69,Other,High,"Houston, TX",Undergraduate
401,66,Female,Low,"Los Angeles, CA",High School
402,51,Male,Medium,"Chicago, IL",Undergraduate
403,56,Female,Low,"New York, NY",High School
404,33,Male,High,"Chicago, IL",Undergraduate
405,53,Other,Medium,"Miami, FL",High School
406,74,Other,High,"Miami, FL",Graduate
407,77,Female,High,"New York, NY",High School
408,19,Male,Medium,"Houston, TX",Graduate
409,65,Male,High,"Miami, FL",Graduate
410,74,Female,Low,"Houston, TX",Undergraduate
411,64,Male,Low,"Miami, FL",High School
412,76,Male,Low,"Miami, FL",High School
413,38,Female,Low,"New York, NY",Undergraduate
414,78,Female,Low,"Los Angeles, CA",High School
415,45,Male,Low,"Miami, FL",High School
416,50,Female,High,"New York, NY",Undergraduate
417,44,Female,High,"Miami, FL",Undergraduate
418,50,Other,Medium,"Chicago, IL",Undergraduate
419,79,Female,High,"Miami, FL",Graduate
420,70,Male,High,"Los Angeles, CA",High School
421,64,Female,Low,"New York, NY",High School
422,48,Male,Medium,"Houston, TX",Graduate
423,53,Male,High,"New York, NY",Undergraduate
424,75,Male,High,"Miami, FL",High School
425,69,Other,Low,"New York, NY",Graduate
426,44,Male,Low,"Chicago, IL",High School
427,36,Female,High,"Chicago, IL",High School
428,78,Male,Low,"New York, NY",Undergraduate
429,33,Other,Medium,"New York, NY",Undergraduate
430,25,Male,Medium,"New York, NY",High School
431,32,Male,Low,"Chicago, IL",Undergraduate
432,61,Other,Low,"Los Angeles, CA",Undergraduate
433,62,Male,High,"New York, NY",Undergraduate
434,29,Female,Medium,"Chicago, IL",Graduate
435,39,Other,Medium,"New York, NY",Graduate
436,50,Other,High,"Los Angeles, CA",Undergraduate
437,36,Male,Low,"Chicago, IL",Graduate
438,67,Other,High,"Miami, FL",Undergraduate
439,42,Other,Medium,"Chicago, IL",High School
440,44,Female,High,"Chicago, IL",Undergraduate
441,22,Other,Medium,"Houston, TX",Graduate
442,42,Male,High,"Chicago, IL",High School
443,24,Other,Medium,"Chicago, IL",Undergraduate
444,37,Male,High,"Los Angeles, CA",Undergraduate
445,54,Male,High,"Miami, FL",High School
446,63,Other,High,"Los Angeles, CA",High School
447,67,Female,Medium,"New York, NY",Graduate
448,51,Female,High,"New York, NY",Undergraduate
449,52,Other,High,"Houston, TX",Undergraduate
450,59,Male,High,"Miami, FL",High School
451,66,Female,Medium,"New York, NY",High School
452,41,Female,High,"Los Angeles, CA",Undergraduate
453,27,Male,Low,"Los Angeles, CA",High School
454,42,Male,Low,"Chicago, IL",High School
455,53,Female,Medium,"Chicago, IL",Graduate
456,35,Other,High,"Houston, TX",Undergraduate
457,47,Female,Low,"Houston, TX",Graduate
458,66,Male,Medium,"New York, NY",Graduate
459,33,Male,Low,"Houston, TX",High School
460,46,Other,Low,"Houston, TX",Undergraduate
461,33,Male,Low,"Chicago, IL",Graduate
462,27,Male,Medium,"Miami, FL",High School
463,68,Male,Medium,"Miami, FL",Graduate
464,68,Other,Low,"New York, NY",Graduate
465,39,Female,Medium,"Miami, FL",Graduate
466,60,Female,High,"Houston, TX",High School
467,52,Male,Medium,"New York, NY",Graduate
468,36,Other,High,"New York, NY",High School
469,76,Male,Medium,"Miami, FL",High School
470,51,Other,High,"Houston, TX",Graduate
471,72,Male,Low,"Houston, TX",Graduate
472,32,Male,Medium,"Los Angeles, CA",High School
473,52,Male,Medium,"Chicago, IL",Graduate
474,73,Male,High,"Chicago, IL",Undergraduate
475,66,Other,Low,"Chicago, IL",Graduate
476,29,Female,High,"Los Angeles, CA",Undergraduate
477,77,Other,Medium,"Chicago, IL",Graduate
478,48,Male,High,"Los Angeles, CA",Graduate
479,62,Other,Medium,"Miami, FL",High School
480,37,Male,High,"New York, NY",Undergraduate
481,20,Other,Medium,"New York, NY",Undergraduate
482,46,Other,Low,"Houston, TX",High School
483,78,Female,High,"Chicago, IL",Undergraduate
484,48,Other,High,"Miami, FL",High School
485,74,Male,Low,"Houston, TX",Graduate
486,79,Female,High,"Houston, TX",High School
487,36,Other,Low,"Los Angeles, CA",High School
488,48,Male,Medium,"Miami, FL",Graduate
489,64,Female,Medium,"Chicago, IL",Graduate
490,64,Male,Medium,"Houston, TX",High School
491,29,Female,Medium,"Miami, FL",Graduate
492,79,Other,High,"Houston, TX",Graduate
493,52,Female,Low,"Los Angeles, CA",Undergraduate
494,75,Other,High,"Los Angeles, CA",High School
495,39,Other,High,"New York, NY",Undergraduate
496,76,Other,Low,"Chicago, IL",Undergraduate
497,74,Female,Low,"Los Angeles, CA",High School
498,76,Female,Low,"Miami, FL",Graduate
499,74,Other,High,"Chicago, IL",High School
500,64,Male,Medium,"Chicago, IL",Graduate
501,62,Other,Medium,"Los Angeles, CA",High School
502,62,Female,High,"Chicago, IL",Graduate
503,25,Male,Medium,"Los Angeles, CA",Undergraduate
504,54,Male,High,"Miami, FL",Undergraduate
505,63,Female,Low,"Chicago, IL",Graduate
506,37,Male,High,"Houston, TX",Undergraduate
507,38,Male,High,"Los Angeles, CA",Graduate
508,71,Other,Medium,"Los Angeles, CA",Undergraduate
509,41,Female,High,"New York, NY",Graduate
510,72,Other,Medium,"Los Angeles, CA",Undergraduate
511,64,Other,High,"Chicago, IL",Graduate
512,51,Other,Low,"New York, NY",Graduate
513,49,Other,Medium,"Chicago, IL",Graduate
514,41,Female,Low,"Los Angeles, CA",Graduate
515,74,Other,Medium,"New York, NY",Undergraduate
516,44,Other,Low,"Miami, FL",Graduate
517,64,Other,High,"Miami, FL",Undergraduate
518,19,Male,High,"New York, NY",Undergraduate
519,74,Other,Medium,"Houston, TX",Graduate
520,68,Other,Medium,"New York, NY",High School
521,61,Female,Low,"Houston, TX",Undergraduate
522,54,Male,Medium,"Chicago, IL",Undergraduate
523,56,Female,Low,"Miami, FL",Undergraduate
524,54,Female,Medium,"Los Angeles, CA",High School
525,46,Male,Low,"Houston, TX",Graduate
526,58,Other,Medium,"New York, NY",Undergraduate
527,29,Other,High,"New York, NY",Graduate
528,51,Female,Medium,"Miami, FL",Undergraduate
529,67,Other,High,"Miami, FL",High School
530,36,Male,Medium,"New York, NY",Undergraduate
531,51,Male,Low,"New York, NY",Graduate
532,58,Female,Medium,"Miami, FL",Undergraduate
533,42,Other,Low,"Miami, FL",Graduate
534,43,Other,Low,"Los Angeles, CA",Undergraduate
535,71,Other,Medium,"Houston, TX",Undergraduate
536,62,Other,Medium,"Chicago, IL",Undergraduate
537,49,Other,High,"Los Angeles, CA",Undergraduate
538,33,Male,High,"Houston, TX",Undergraduate
539,29,Other,High,"Chicago, IL",High School
540,18,Male,High,"Miami, FL",Undergraduate
541,35,Female,Low,"Miami, FL",High School
542,37,Male,Medium,"Los Angeles, CA",Undergraduate
543,56,Male,Medium,"Miami, FL",High School
544,45,Female,High,"New York, NY",Undergraduate
545,26,Male,Medium,"Miami, FL",High School
546,32,Male,Medium,"Chicago, IL",Graduate
547,60,Male,Medium,"Miami, FL",Undergraduate
548,19,Male,Medium,"Houston, TX",High School
549,45,Male,Medium,"Miami, FL",Graduate
550,30,Female,Low,"Houston, TX",High School
551,48,Female,Medium,"New York, NY",Graduate
552,37,Other,Low,"Miami, FL",Graduate
553,34,Female,Medium,"Houston, TX",Graduate
554,64,Female,Low,"New York, NY",Undergraduate
555,64,Male,Medium,"Houston, TX",Undergraduate
556,64,Female,High,"New York, NY",Undergraduate
557,45,Other,Low,"Houston, TX",High School
558,46,Female,Medium,"Houston, TX",Graduate
559,31,Other,High,"New York, NY",Undergraduate
560,35,Male,Low,"Houston, TX",Undergraduate
561,32,Female,Low,"Chicago, IL",Graduate
562,34,Male,Medium,"Chicago, IL",High School
563,23,Male,High,"New York, NY",High School
564,50,Male,Low,"Houston, TX",Graduate
565,59,Other,Medium,"Chicago, IL",Graduate
566,70,Other,Medium,"Chicago, IL",Graduate
567,57,Female,Medium,"Miami, FL",Undergraduate
568,44,Female,Low,"Miami, FL",High School
569,71,Other,Low,"Los Angeles, CA",Undergraduate
570,70,Other,Low,"Houston, TX",High School
571,18,Male,Medium,"Los Angeles, CA",High School
572,29,Female,Medium,"New York, NY",Undergraduate
573,73,Other,Low,"Miami, FL",Undergraduate
574,33,Male,Low,"Chicago, IL",Undergraduate
575,44,Male,Medium,"Miami, FL",Undergraduate
576,57,Male,High,"New York, NY",Undergraduate
577,64,Male,Low,"Los Angeles, CA",Undergraduate
578,78,Other,Low,"Los Angeles, CA",Graduate
579,27,Female,Medium,"Miami, FL",Graduate
580,37,Other,Low,"Houston, TX",Graduate
581,77,Male,High,"Los Angeles, CA",Undergraduate
582,42,Male,Medium,"Houston, TX",High School
583,26,Female,Low,"Los Angeles, CA",Undergraduate
584,19,Male,High,"Houston, TX",Graduate
585,56,Female,Low,"Chicago, IL",Undergraduate
586,41,Female,High,"Houston, TX",High School
587,48,Other,High,"Los Angeles, CA",High School
588,52,Female,Medium,"Miami, FL",Undergraduate
589,51,Male,Medium,"Houston, TX",Undergraduate
590,25,Other,Low,"New York, NY",Undergraduate
591,56,Female,Low,"Houston, TX",High School
