transaction_id,customer_id,transaction_date,amount_spent,merchant_category,reward_points_earned,card_type
37,910,2023-10-15 11:39:38.789946,82.44,Entertainment,8,External
38,905,2023-08-10 04:25:38.789946,70.25,Groceries,7,External
39,9,2023-07-26 13:41:38.789946,183.28,Groceries,18,External
40,746,2023-07-09 15:37:38.789946,321.29,Dining,32,External
41,615,2023-09-25 12:44:38.789946,160.27,Groceries,16,External
42,727,2023-08-09 16:27:38.789946,422.83,Retail,42,External
43,629,2023-07-26 14:53:38.789946,294.04,Groceries,29,External
44,745,2023-09-01 06:10:38.789946,20.13,Retail,2,Internal
45,449,2024-02-08 10:54:38.789946,38.53,Travel,4,Internal
46,728,2024-04-08 14:27:38.789946,413.71,Entertainment,41,External
47,248,2024-05-29 09:05:38.789946,480.83,Retail,48,Internal
48,374,2024-06-04 16:47:38.789946,66.29,Retail,7,External
49,484,2024-01-30 10:19:38.789946,303.25,Retail,30,Internal
50,323,2023-08-25 14:26:38.789946,437.65,Retail,44,External
51,437,2023-07-09 00:21:38.789946,255.81,Dining,26,External
52,224,2024-05-23 08:21:38.789946,354.98,Travel,35,Internal
53,997,2024-04-21 22:08:38.789946,418.6,Retail,42,Internal
54,233,2024-03-01 03:52:38.789946,93.2,Travel,9,External
55,700,2024-05-28 09:48:38.789946,348.36,Entertainment,35,Internal
56,895,2023-07-12 13:38:38.789946,47.37,Groceries,5,Internal
57,660,2024-06-22 00:41:38.789946,103.58,Dining,10,Internal
58,978,2024-04-10 09:18:38.789946,95.28,Groceries,10,Internal
59,12,2024-06-19 05:46:38.789946,151.49,Groceries,15,Internal
60,344,2023-10-19 13:23:38.789946,86.72,Dining,9,Internal
61,106,2024-04-26 14:05:38.789946,221.43,Retail,22,Internal
62,553,2024-05-17 05:46:38.789946,189.64,Retail,19,Internal
63,727,2024-06-03 02:05:38.789946,172.58,Groceries,17,Internal
64,60,2023-07-11 15:04:38.789946,375.1,Groceries,38,External
65,424,2024-01-11 06:10:38.789946,9.68,Groceries,1,Internal
66,479,2023-12-03 11:20:38.789946,458.44,Groceries,46,Internal
67,467,2023-08-16 04:49:38.789946,116.63,Groceries,12,Internal
68,762,2024-01-31 07:04:38.789946,479.25,Travel,48,Internal
69,724,2024-04-17 06:01:38.789946,9.38,Dining,1,Internal
70,338,2023-12-13 19:03:38.789946,238.56,Dining,24,Internal
71,315,2023-08-28 07:55:38.789946,259.42,Dining,26,External
72,455,2023-12-15 17:58:38.789946,379.12,Travel,38,External
73,517,2023-09-01 10:31:38.789946,292.65,Entertainment,29,External
74,858,2024-01-18 12:28:38.789946,228.32,Groceries,23,Internal
75,407,2024-04-14 03:29:38.789946,181.27,Dining,18,Internal
76,17,2023-08-28 02:19:38.789946,448.44,Groceries,45,Internal
77,285,2023-11-13 15:04:38.789946,422.02,Groceries,42,External
78,187,2023-11-27 03:04:38.789946,92.26,Retail,9,Internal
79,22,2024-03-13 00:49:38.789946,434.34,Travel,43,External
80,701,2024-03-03 04:08:38.789946,46.85,Groceries,5,Internal
81,407,2024-05-12 15:26:38.789946,386.83,Retail,39,Internal
82,990,2024-04-27 19:53:38.789946,381.75,Travel,38,External
83,688,2024-03-16 06:57:38.789946,24.78,Entertainment,2,Internal
84,321,2023-07-29 06:45:38.789946,369.8,Groceries,37,External
85,935,2023-07-21 09:35:38.789946,83.75,Entertainment,8,External
86,722,2023-12-17 08:50:38.789946,181.27,Retail,18,External
87,418,2023-11-20 07:17:38.789946,193.18,Travel,19,Internal
88,487,2023-08-19 14:02:38.789946,392.66,Entertainment,39,External
89,8,2024-06-28 19:08:38.789946,446.5,Dining,45,External
90,924,2023-08-23 14:48:38.789946,261.72,Retail,26,External
91,45,2024-04-18 20:24:38.789946,385.66,Groceries,39,Internal
92,656,2024-06-27 02:07:38.789946,214.88,Retail,21,External
93,219,2024-03-28 18:18:38.789946,251.13,Travel,25,Internal
94,979,2023-11-08 05:46:38.789946,155.07,Groceries,16,External
95,465,2024-03-29 19:06:38.789946,402.54,Travel,40,External
96,262,2024-01-20 02:43:38.789946,465.8,Dining,47,Internal
97,549,2024-01-02 10:56:38.789946,434.3,Groceries,43,Internal
98,108,2024-04-17 10:18:38.789946,96.45,Groceries,10,External
99,120,2024-03-08 05:03:38.789946,82.63,Retail,8,Internal
100,173,2023-09-05 23:06:38.789946,125.64,Dining,13,Internal
101,373,2023-12-22 06:00:38.789946,33.07,Travel,3,Internal
102,778,2023-12-22 23:55:38.789946,356.47,Travel,36,External
103,899,2023-08-19 04:37:38.789946,81.9,Entertainment,8,External
104,575,2024-06-23 01:00:38.789946,213.37,Dining,21,External
105,831,2024-04-03 09:15:38.789946,461.77,Entertainment,46,Internal
106,151,2024-02-03 23:20:38.789946,151.91,Groceries,15,External
107,651,2023-11-11 04:38:38.789946,324.2,Retail,32,External
108,921,2023-12-04 14:47:38.789946,410.16,Groceries,41,Internal
109,5,2023-08-11 08:37:38.789946,188.12,Retail,19,External
110,541,2023-12-26 15:29:38.789946,201.08,Groceries,20,External
111,141,2023-10-14 03:01:38.789946,213.33,Entertainment,21,External
112,139,2023-12-18 16:40:38.789946,52.09,Travel,5,Internal
113,200,2024-06-18 18:52:38.789946,334.28,Dining,33,External
114,985,2024-06-02 17:49:38.789946,490.41,Travel,49,External
115,590,2023-08-16 17:30:38.789946,189.86,Dining,19,Internal
116,172,2024-04-01 13:56:38.789946,18.59,Retail,2,External
117,920,2024-01-04 05:31:38.789946,298.21,Retail,30,External
118,550,2024-04-12 17:36:38.789946,68.63,Retail,7,Internal
119,820,2023-11-09 07:13:38.789946,221.27,Retail,22,Internal
120,720,2023-11-09 21:08:38.789946,140.09,Travel,14,Internal
121,803,2023-11-22 10:37:38.789946,81.42,Entertainment,8,External
122,419,2024-02-06 13:02:38.789946,266.97,Dining,27,External
123,478,2023-07-18 16:58:38.789946,441.36,Dining,44,Internal
124,650,2024-01-21 14:03:38.789946,479.53,Groceries,48,Internal
125,402,2023-08-17 13:25:38.789946,374.42,Dining,37,Internal
126,841,2024-05-18 21:26:38.789946,210.24,Entertainment,21,External
127,139,2024-03-22 08:03:38.789946,465.46,Travel,47,Internal
128,416,2024-05-14 14:41:38.789946,148.83,Groceries,15,External
129,236,2023-09-10 08:55:38.789946,179.86,Dining,18,External
130,929,2024-03-14 07:49:38.789946,243.06,Entertainment,24,Internal
131,490,2023-08-16 15:13:38.789946,467.28,Dining,47,Internal
132,784,2023-08-17 09:51:38.789946,155.73,Entertainment,16,External
133,331,2023-12-27 07:03:38.789946,156.0,Retail,16,Internal
134,701,2024-05-27 21:00:38.789946,23.38,Groceries,2,External
135,119,2023-10-15 11:56:38.789946,19.75,Groceries,2,Internal
136,399,2024-04-19 04:12:38.789946,321.66,Entertainment,32,Internal
137,633,2023-08-24 19:31:38.789946,236.86,Travel,24,Internal
138,564,2024-01-14 15:03:38.789946,144.99,Retail,14,Internal
139,352,2024-03-15 21:36:38.789946,306.97,Entertainment,31,External
140,736,2024-06-29 23:12:38.789946,177.19,Dining,18,External
141,996,2023-12-11 16:18:38.789946,277.47,Dining,28,External
142,782,2023-07-19 08:09:38.789946,139.85,Retail,14,Internal
143,808,2023-08-25 12:29:38.789946,317.61,Entertainment,32,External
144,635,2024-05-29 14:24:38.789946,388.5,Groceries,39,Internal
145,12,2023-12-05 22:59:38.789946,374.56,Dining,37,Internal
146,607,2024-06-13 18:52:38.789946,350.0,Dining,35,Internal
147,266,2023-07-23 13:00:38.789946,266.52,Retail,27,Internal
148,680,2023-11-13 10:35:38.789946,468.36,Travel,47,External
149,673,2024-05-18 07:08:38.789946,422.59,Travel,42,External
150,166,2023-07-05 13:39:38.789946,46.59,Travel,5,Internal
151,866,2024-02-02 18:54:38.789946,404.77,Groceries,40,External
152,369,2023-10-22 13:27:38.789946,403.34,Travel,40,External
153,10,2023-07-03 11:34:38.789946,465.64,Groceries,47,External
154,501,2023-11-15 05:12:38.789946,236.14,Travel,24,Internal
155,859,2024-03-24 15:31:38.789946,67.52,Dining,7,External
156,320,2023-08-26 14:08:38.789946,284.74,Retail,28,Internal
157,176,2023-10-20 02:32:38.789946,83.04,Retail,8,External
158,592,2024-04-23 23:49:38.789946,165.26,Retail,17,External
159,851,2023-11-15 17:32:38.789946,100.89,Retail,10,Internal
160,574,2024-02-11 22:34:38.789946,261.37,Dining,26,Internal
161,871,2024-03-21 09:40:38.789946,82.03,Retail,8,Internal
162,97,2023-08-05 17:43:38.789946,48.86,Retail,5,External
163,601,2023-09-04 15:16:38.789946,84.57,Entertainment,8,External
164,845,2023-07-19 10:19:38.789946,410.31,Dining,41,External
165,260,2023-11-01 22:18:38.789946,418.72,Groceries,42,Internal
166,711,2024-07-01 05:27:38.789946,428.08,Travel,43,External
167,341,2024-03-25 18:15:38.789946,309.61,Travel,31,Internal
168,308,2023-12-04 22:59:38.789946,412.19,Retail,41,External
169,643,2023-09-11 10:38:38.789946,445.14,Retail,45,Internal
170,826,2023-12-31 10:31:38.789946,378.71,Retail,38,Internal
171,955,2024-06-29 06:59:38.789946,190.53,Retail,19,Internal
172,694,2023-08-19 00:11:38.789946,273.92,Travel,27,External
173,725,2024-05-09 05:33:38.789946,87.54,Entertainment,9,Internal
174,162,2024-02-05 05:05:38.789946,178.93,Travel,18,Internal
175,266,2024-03-13 11:23:38.789946,149.75,Entertainment,15,Internal
176,710,2024-04-04 10:14:38.789946,45.12,Retail,5,Internal
177,531,2024-03-24 11:07:38.789946,364.54,Dining,36,Internal
178,758,2024-06-28 21:47:38.789946,114.66,Retail,11,External
179,762,2023-08-09 22:33:38.789946,22.38,Groceries,2,Internal
180,321,2024-02-15 13:31:38.789946,164.34,Entertainment,16,Internal
181,570,2024-06-27 06:17:38.789946,33.21,Travel,3,Internal
182,55,2023-08-21 12:06:38.789946,436.05,Dining,44,External
183,655,2024-05-31 17:12:38.789946,233.51,Entertainment,23,Internal
184,792,2023-08-08 05:08:38.789946,48.86,Retail,5,Internal
185,819,2024-01-09 16:47:38.789946,118.17,Travel,12,External
186,98,2024-02-22 19:06:38.789946,149.42,Entertainment,15,Internal
187,433,2024-01-29 01:44:38.789946,247.55,Retail,25,Internal
188,784,2024-06-20 14:25:38.789946,428.07,Dining,43,External
189,678,2023-10-06 09:52:38.789946,215.24,Dining,22,Internal
190,333,2023-09-10 22:20:38.789946,127.91,Groceries,13,External
191,72,2023-09-04 21:49:38.789946,400.47,Dining,40,External
192,116,2023-08-16 07:51:38.789946,146.27,Retail,15,External
193,888,2023-11-02 05:10:38.789946,180.34,Retail,18,Internal
194,32,2024-05-02 01:32:38.789946,443.16,Dining,44,External
195,488,2023-12-21 13:16:38.789946,251.66,Travel,25,External
196,476,2023-12-27 12:49:38.789946,388.99,Retail,39,Internal
197,935,2023-09-05 01:08:38.789946,223.13,Groceries,22,Internal
198,338,2023-09-26 14:34:38.789946,216.27,Dining,22,External
199,779,2024-02-04 03:20:38.789946,438.79,Dining,44,External
200,372,2023-11-23 01:44:38.789946,161.75,Retail,16,External
201,973,2024-04-17 18:12:38.789946,204.69,Groceries,20,Internal
202,279,2024-05-21 19:24:38.789946,166.03,Retail,17,Internal
203,448,2023-07-25 07:04:38.789946,241.48,Groceries,24,External
204,496,2023-10-17 04:03:38.789946,382.44,Groceries,38,Internal
205,923,2023-11-21 21:18:38.789946,93.36,Entertainment,9,Internal
206,54,2023-08-18 13:46:38.789946,182.23,Travel,18,External
207,480,2023-08-22 09:10:38.789946,149.03,Entertainment,15,Internal
208,14,2024-05-30 16:49:38.789946,499.87,Groceries,50,Internal
209,252,2023-12-24 08:56:38.789946,181.73,Entertainment,18,External
210,452,2023-07-08 02:11:38.789946,290.25,Groceries,29,External
211,556,2023-07-06 23:17:38.789946,210.68,Travel,21,Internal
212,503,2024-06-10 18:38:38.789946,499.86,Groceries,50,External
213,836,2023-08-13 07:39:38.789946,380.88,Dining,38,External
214,72,2024-06-25 18:49:38.789946,445.27,Entertainment,45,Internal
215,814,2024-03-05 07:05:38.789946,328.35,Groceries,33,External
216,330,2023-11-05 05:03:38.789946,318.39,Groceries,32,External
217,389,2024-02-05 15:31:38.789946,31.62,Groceries,3,External
218,401,2023-07-04 23:16:38.789946,228.44,Travel,23,Internal
219,468,2023-11-02 20:06:38.789946,270.47,Groceries,27,External
220,808,2024-06-27 06:42:38.789946,99.07,Travel,10,Internal
221,141,2023-09-27 19:30:38.789946,291.57,Retail,29,Internal
222,328,2024-05-04 10:42:38.789946,317.53,Dining,32,External
223,478,2023-12-29 08:07:38.789946,378.75,Travel,38,External
224,762,2023-10-06 15:47:38.789946,402.62,Travel,40,External
225,424,2024-03-14 01:20:38.789946,262.25,Groceries,26,External
226,526,2023-07-29 01:03:38.789946,403.23,Entertainment,40,External
227,765,2023-12-14 20:16:38.789946,121.4,Dining,12,Internal
228,371,2023-08-10 18:30:38.789946,325.62,Entertainment,33,External
229,323,2023-08-09 07:56:38.789946,258.63,Groceries,26,External
230,659,2023-10-09 09:31:38.789946,464.72,Entertainment,46,Internal
231,173,2023-11-16 10:01:38.789946,97.58,Travel,10,External
232,108,2024-04-06 14:10:38.789946,156.13,Travel,16,Internal
233,439,2023-11-18 03:28:38.789946,40.53,Entertainment,4,External
234,179,2024-04-03 04:21:38.789946,414.97,Dining,41,Internal
235,686,2023-08-30 05:04:38.789946,461.15,Entertainment,46,External
236,610,2024-01-04 12:55:38.789946,73.66,Entertainment,7,Internal
237,594,2024-04-15 20:31:38.789946,481.81,Travel,48,External
238,678,2024-04-02 07:28:38.789946,381.1,Dining,38,External
239,825,2023-08-20 07:41:38.789946,181.5,Travel,18,Internal
240,724,2024-05-30 09:45:38.789946,24.81,Retail,2,External
241,278,2023-10-14 14:50:38.789946,131.26,Travel,13,External
242,689,2023-08-22 00:20:38.789946,161.58,Entertainment,16,External
243,791,2024-01-29 06:04:38.789946,189.67,Groceries,19,Internal
244,259,2024-01-25 10:54:38.789946,191.39,Entertainment,19,External
245,712,2023-07-17 15:36:38.789946,235.67,Travel,24,Internal
246,604,2024-06-20 22:14:38.789946,263.18,Entertainment,26,External
247,818,2023-08-05 04:31:38.789946,245.52,Retail,25,Internal
248,545,2023-10-09 23:15:38.789946,422.55,Entertainment,42,Internal
249,571,2024-01-29 15:32:38.789946,361.59,Dining,36,Internal
250,677,2024-04-29 02:15:38.789946,326.24,Groceries,33,Internal
251,592,2023-09-05 23:55:38.789946,319.46,Groceries,32,Internal
252,84,2024-03-01 02:02:38.789946,163.46,Entertainment,16,Internal
253,195,2024-02-16 17:55:38.789946,478.05,Entertainment,48,Internal
254,570,2023-12-25 02:35:38.789946,256.21,Groceries,26,Internal
255,727,2023-09-13 18:09:38.789946,253.63,Travel,25,Internal
256,231,2024-04-29 09:35:38.789946,463.15,Groceries,46,Internal
257,885,2023-09-19 08:13:38.789946,455.99,Dining,46,Internal
258,126,2024-04-26 06:06:38.789946,465.28,Travel,47,External
259,20,2024-03-28 14:29:38.789946,85.75,Dining,9,External
260,183,2023-10-11 22:37:38.789946,382.31,Dining,38,External
261,333,2024-06-23 07:15:38.789946,195.98,Groceries,20,Internal
262,509,2024-04-26 18:09:38.789946,67.52,Dining,7,Internal
263,297,2024-04-19 09:12:38.789946,230.82,Groceries,23,External
264,575,2023-09-26 08:39:38.789946,95.85,Retail,10,External
265,742,2023-08-07 21:50:38.789946,203.52,Retail,20,External
266,296,2023-11-19 12:14:38.789946,143.9,Entertainment,14,External
267,395,2023-09-30 07:03:38.789946,245.09,Dining,25,Internal
268,306,2024-03-12 07:50:38.789946,470.53,Retail,47,Internal
269,533,2024-01-13 15:31:38.789946,54.08,Dining,5,External
270,863,2023-08-23 22:34:38.789946,403.76,Groceries,40,External
271,268,2023-07-03 20:11:38.789946,309.92,Groceries,31,External
272,452,2024-05-20 06:42:38.789946,144.72,Retail,14,External
273,751,2024-06-06 23:06:38.789946,182.23,Dining,18,Internal
274,784,2024-01-06 17:41:38.789946,464.27,Entertainment,46,External
275,413,2023-11-25 14:06:38.789946,367.35,Travel,37,Internal
276,135,2024-03-26 13:34:38.789946,133.87,Retail,13,Internal
277,962,2023-08-31 12:42:38.789946,415.77,Travel,42,External
278,518,2024-01-12 22:38:38.789946,75.83,Entertainment,8,External
279,318,2024-01-25 11:33:38.789946,63.57,Entertainment,6,External
280,626,2023-12-12 01:33:38.789946,88.96,Dining,9,Internal
281,710,2023-12-30 13:50:38.789946,241.46,Travel,24,External
282,134,2024-05-07 03:05:38.789946,383.23,Groceries,38,External
283,653,2023-07-03 17:15:38.789946,65.51,Travel,7,External
284,72,2023-11-20 23:26:38.789946,246.21,Entertainment,25,External
285,635,2023-08-29 12:33:38.789946,30.53,Dining,3,External
286,180,2023-10-11 16:12:38.789946,11.49,Entertainment,1,External
287,753,2023-12-24 05:39:38.789946,180.59,Dining,18,External
288,727,2024-06-14 08:12:38.789946,289.62,Retail,29,Internal
289,966,2023-07-22 03:49:38.789946,397.08,Retail,40,External
290,394,2024-04-12 03:04:38.789946,463.37,Groceries,46,External
291,430,2024-04-06 05:54:38.789946,150.52,Retail,15,External
292,723,2023-07-29 03:55:38.789946,421.49,Retail,42,Internal
293,805,2024-05-03 09:40:38.789946,213.47,Dining,21,Internal
294,939,2024-05-24 04:08:38.789946,63.91,Groceries,6,Internal
295,358,2024-02-01 21:44:38.789946,159.29,Travel,16,External
296,441,2024-01-22 21:31:38.789946,413.05,Retail,41,External
297,586,2024-06-15 09:04:38.789946,69.07,Entertainment,7,External
298,597,2023-12-21 19:41:38.789946,210.77,Groceries,21,External
299,912,2024-06-13 00:37:38.789946,381.91,Groceries,38,External
300,366,2023-10-05 19:33:38.789946,126.16,Groceries,13,Internal
301,812,2023-12-28 17:31:38.789946,479.62,Entertainment,48,Internal
302,906,2024-05-10 04:02:38.789946,269.52,Entertainment,27,External
303,628,2023-09-30 19:57:38.789946,147.21,Groceries,15,External
304,788,2023-09-07 10:24:38.789946,269.91,Entertainment,27,Internal
305,311,2024-01-27 07:29:38.789946,292.81,Travel,29,External
306,561,2023-10-04 06:15:38.789946,61.67,Travel,6,Internal
307,630,2023-09-06 11:09:38.789946,101.68,Travel,10,External
308,287,2024-03-18 01:11:38.789946,200.64,Dining,20,Internal
309,814,2023-12-04 23:40:38.789946,169.6,Retail,17,External
310,609,2024-03-14 12:59:38.789946,75.84,Retail,8,External
311,409,2024-05-18 03:55:38.789946,58.3,Groceries,6,Internal
312,752,2024-01-27 04:47:38.789946,399.57,Travel,40,External
313,348,2024-01-07 09:12:38.789946,35.44,Entertainment,4,External
314,435,2023-12-12 20:41:38.789946,318.47,Dining,32,External
315,832,2023-11-28 14:53:38.789946,318.63,Dining,32,Internal
316,775,2024-04-10 10:22:38.789946,138.74,Travel,14,Internal
317,372,2023-07-16 13:09:38.789946,425.47,Entertainment,43,External
318,65,2024-02-03 00:38:38.789946,361.83,Groceries,36,Internal
319,328,2024-06-19 04:00:38.789946,219.73,Retail,22,External
320,398,2023-10-12 20:59:38.789946,28.49,Groceries,3,External
321,856,2024-05-02 12:03:38.789946,293.11,Retail,29,External
322,290,2024-06-11 11:25:38.789946,349.32,Groceries,35,External
323,857,2023-10-27 00:49:38.789946,448.16,Dining,45,Internal
324,47,2024-01-11 02:38:38.789946,47.08,Retail,5,External
325,792,2024-05-10 14:35:38.789946,338.55,Entertainment,34,External
326,527,2023-11-07 20:12:38.789946,190.09,Travel,19,Internal
327,124,2023-07-17 21:53:38.789946,343.07,Dining,34,Internal
328,714,2023-09-04 21:08:38.789946,462.14,Dining,46,Internal
329,882,2023-07-27 23:35:38.789946,215.78,Retail,22,External
330,236,2024-05-24 09:17:38.789946,203.6,Entertainment,20,Internal
331,479,2024-05-31 02:04:38.789946,480.82,Entertainment,48,Internal
332,564,2023-08-24 06:38:38.789946,297.78,Travel,30,Internal
333,371,2024-06-12 19:52:38.789946,257.11,Dining,26,Internal
334,762,2023-07-29 05:13:38.789946,349.21,Groceries,35,Internal
335,353,2023-11-30 14:43:38.789946,174.4,Travel,17,External
336,525,2024-06-18 08:36:38.789946,93.44,Retail,9,Internal
337,180,2024-06-07 08:52:38.789946,12.23,Groceries,1,External
338,226,2023-11-15 22:07:38.789946,375.08,Dining,38,External
339,815,2024-06-29 07:19:38.789946,144.58,Dining,14,Internal
340,743,2024-05-07 01:20:38.789946,221.8,Travel,22,External
341,576,2024-05-05 22:41:38.789946,85.27,Dining,9,Internal
342,713,2024-05-26 16:41:38.789946,32.68,Groceries,3,External
343,383,2024-05-30 21:18:38.789946,108.09,Retail,11,External
344,46,2023-07-04 07:15:38.789946,443.29,Groceries,44,Internal
345,812,2024-06-06 23:07:38.789946,277.52,Travel,28,Internal
346,629,2024-05-12 05:07:38.789946,69.18,Groceries,7,Internal
347,422,2024-06-17 11:15:38.789946,93.49,Retail,9,External
348,13,2023-10-15 15:15:38.789946,71.57,Dining,7,Internal
349,586,2023-09-27 14:34:38.789946,152.67,Travel,15,External
350,502,2024-04-27 06:28:38.789946,236.0,Groceries,24,External
351,749,2024-05-16 09:40:38.789946,201.6,Groceries,20,Internal
352,606,2024-04-01 07:40:38.789946,286.03,Entertainment,29,External
353,742,2023-07-12 08:51:38.789946,62.86,Travel,6,External
354,167,2024-01-04 00:10:38.789946,65.54,Travel,7,Internal
355,873,2023-08-08 18:21:38.789946,275.71,Retail,28,External
356,190,2023-08-02 22:44:38.789946,56.1,Dining,6,External
357,445,2023-11-20 02:40:38.789946,264.88,Retail,26,External
358,912,2024-01-21 05:10:38.789946,320.42,Retail,32,External
359,256,2023-11-21 22:07:38.789946,130.86,Travel,13,Internal
360,280,2024-06-26 04:57:38.789946,492.14,Groceries,49,Internal
361,307,2024-03-02 07:04:38.789946,295.27,Travel,30,Internal
362,418,2024-03-05 08:33:38.789946,224.89,Travel,22,External
363,614,2023-12-12 23:55:38.789946,480.82,Retail,48,External
364,603,2024-04-01 22:11:38.789946,422.05,Retail,42,External
365,863,2023-08-28 07:21:38.789946,73.92,Travel,7,Internal
366,508,2024-01-02 02:29:38.789946,22.1,Entertainment,2,External
367,532,2024-02-19 02:12:38.789946,248.91,Travel,25,Internal
368,291,2024-05-07 06:39:38.789946,27.99,Retail,3,Internal
369,655,2023-11-09 13:16:38.789946,30.98,Retail,3,Internal
370,750,2024-04-29 21:45:38.789946,383.89,Groceries,38,External
371,243,2024-05-30 06:03:38.789946,327.3,Dining,33,External
372,526,2024-01-26 05:14:38.789946,295.04,Dining,30,External
373,499,2024-06-02 03:34:38.789946,357.77,Travel,36,Internal
374,689,2024-01-27 06:32:38.789946,281.59,Travel,28,External
375,618,2024-06-07 05:00:38.789946,127.7,Entertainment,13,External
376,14,2023-08-31 01:22:38.789946,143.16,Groceries,14,External
377,248,2024-01-01 07:54:38.789946,452.67,Groceries,45,Internal
378,158,2023-11-03 11:32:38.789946,395.18,Retail,40,External
379,341,2024-04-15 20:54:38.789946,137.66,Entertainment,14,Internal
380,827,2023-10-31 04:10:38.789946,392.65,Groceries,39,External
381,356,2023-12-21 15:37:38.789946,258.98,Groceries,26,External
382,778,2024-03-19 10:30:38.789946,465.45,Retail,47,External
383,333,2023-07-30 06:18:38.789946,41.26,Groceries,4,Internal
384,940,2024-02-15 20:51:38.789946,131.7,Dining,13,External
385,481,2024-03-15 10:01:38.789946,441.94,Groceries,44,Internal
386,65,2023-12-24 02:44:38.789946,23.56,Entertainment,2,Internal
387,431,2024-05-18 11:58:38.789946,92.86,Retail,9,External
388,961,2024-02-07 05:32:38.789946,18.57,Travel,2,Internal
389,187,2024-01-07 06:38:38.789946,451.6,Groceries,45,Internal
390,885,2024-04-14 07:58:38.789946,354.44,Retail,35,External
391,486,2024-04-16 18:49:38.789946,338.07,Entertainment,34,External
392,601,2023-12-21 06:50:38.789946,332.93,Groceries,33,Internal
393,871,2024-03-17 18:09:38.789946,464.5,Groceries,46,Internal
394,305,2024-04-04 13:53:38.789946,344.17,Travel,34,Internal
395,545,2023-09-30 07:34:38.789946,329.65,Entertainment,33,External
396,597,2024-02-28 15:40:38.789946,37.79,Groceries,4,Internal
397,608,2023-09-01 13:38:38.789946,383.31,Groceries,38,Internal
398,690,2023-08-10 07:02:38.789946,441.5,Dining,44,Internal
399,623,2023-08-14 05:19:38.789946,478.37,Retail,48,External
400,990,2024-02-28 12:22:38.789946,152.64,Entertainment,15,External
401,376,2024-05-04 17:41:38.789946,414.47,Groceries,41,External
402,358,2024-02-24 10:54:38.789946,128.73,Groceries,13,Internal
403,34,2023-08-25 13:13:38.789946,67.01,Groceries,7,Internal
404,80,2023-12-20 05:22:38.789946,313.5,Groceries,31,External
405,916,2023-08-10 00:12:38.789946,322.58,Travel,32,Internal
406,413,2023-12-15 15:07:38.789946,10.54,Groceries,1,Internal
407,284,2023-09-19 01:51:38.789946,256.2,Retail,26,External
408,409,2023-10-23 01:35:38.789946,111.15,Dining,11,Internal
409,348,2023-08-22 01:01:38.789946,430.81,Entertainment,43,Internal
410,18,2023-10-09 22:51:38.789946,334.45,Entertainment,33,External
411,977,2023-08-15 13:31:38.789946,58.63,Retail,6,Internal
412,597,2024-03-01 04:28:38.789946,143.26,Entertainment,14,Internal
413,486,2024-04-12 14:31:38.789946,67.68,Dining,7,External
414,321,2023-11-14 04:52:38.789946,211.17,Retail,21,Internal
